584,F58W/865 SYL-RETAIL           ,2.01,Sylvania
620,F18W/835 10 WAY               ,1.21,Sylvania
621,F18W/840 10 WAY               ,1.24,Sylvania
622,F36W/835 10 WAY               ,1.55,Sylvania
623,F36W/840 10 WAY               ,1.55,Sylvania
624,F58W/835 10 WAY               ,1.73,Sylvania
625,F58W/840 10 WAY               ,1.73,Sylvania
626,F70W/835 10 WAY               ,1.96,Sylvania
627,F70W/840 10 WAY               ,1.97,Sylvania
643,F15W/T8 AQUASTAR-RETAIL       ,1.62,Sylvania
644,F18W/T8 AQUASTAR-RETAIL       ,1.68,Sylvania
645,"F25W/T8/30"" AQUASTAR-RETAIL   ",1.91,Sylvania
646,F30W/T8 AQUASTAR-RETAIL       ,1.95,Sylvania
647,F36W/T8 AQUASTAR-RETAIL       ,2.21,Sylvania
648,F38W/T8 AQUASTAR-RETAIL       ,2.38,Sylvania
649,F58W/T8 AQUASTAR-RETAIL       ,2.35,Sylvania
690,FHE 14W/T5/830 - RETAIL ND    ,1.88,Sylvania
691,FHE 21W/T5/830 - RETAIL ND    ,2.01,Sylvania
692,FHE 28W/T5/830 - RETAIL ND    ,2.55,Sylvania
693,FHE 14W/T5/840 - RETAIL ND    ,1.87,Sylvania
694,FHE 21W/T5/840 - RETAIL ND    ,2.12,Sylvania
695,FHE 28W/T5/840 - RETAIL ND    ,2.59,Sylvania
696,F18W/BLB SYL-RETAIL           ,4.88,Sylvania
697,F36W/BLB SYL-RETAIL           ,7.91,Sylvania
698,F18 T8 BLB             001G13 ,4.65,Sylvania
699,F36 T8 BLB             001G13 ,7.61,Sylvania
700,F58 T8 BLB G13                ,10.24,Sylvania
707,F14W/T8/GRO -RETAIL           ,2.06,Sylvania
708,F15W/T8/GRO - RETAIL          ,2.21,Sylvania
709,F18W/T8/GRO - RETAIL          ,2.51,Sylvania
710,"F25W/T8/30""/GRO - RETAIL      ",2.93,Sylvania
711,F30W/T8/GRO - RETAIL          ,3.16,Sylvania
712,F36W/T8/GRO - RETAIL          ,3.81,Sylvania
713,F38W/T8/GRO - RETAIL          ,3.44,Sylvania
714,F58W/T8/GRO - RETAIL          ,4.31,Sylvania
715,F15W/850 DAYLIGHTSTAR         ,2.86,Sylvania
716,F18W/850/UV DAYLIGHTSTAR      ,3.36,Sylvania
717,F30W/850/UV DAYLIGHTSTAR      ,4.16,Sylvania
718,F36W/850/UV DAYLIGHTSTAR      ,5.04,Sylvania
728,FHO24W/GRO-RETAIL             ,2.96,Sylvania
729,FHO39W/GRO-RETAIL             ,3.44,Sylvania
730,FHO54W/GRO-RETAIL             ,4.32,Sylvania
731,F15W REPTISTAR UV-B 5%        ,2.02,Sylvania
732,F18W REPTISTAR UV-B 5%        ,2.16,Sylvania
733,F30W REPTISTAR UV-B 5%        ,2.73,Sylvania
735,FHO24W/CORALSTAR-RETAIL       ,2.24,Sylvania
