Item,ItemDesc,Min Price,
708,F15w/T8/Gro - Retail          , 2.35 ,Sylvania
709,F18w/T8/Gro - Retail          , 2.65 ,Sylvania
710,"F25w/T8/30""/Gro - Retail      ", 3.08 ,Sylvania
711,F30w/T8/Gro - Retail          , 3.31 ,Sylvania
712,F36w/T8/Gro - Retail          , 3.97 ,Sylvania
713,F38w/T8/Gro - Retail          , 3.44 ,Sylvania
714,F58w/T8/Gro - Retail          , 4.30 ,Sylvania
715,F15w/850/Uv Daylightstar      , 2.86 ,Sylvania
716,F18w/850/Uv Daylightstar      , 3.36 ,Sylvania
717,F30w/850/Uv Daylightstar      , 4.16 ,Sylvania
718,F36w/850/Uv Daylightstar      , 5.05 ,Sylvania
728,Fho24w/Gro-Retail             , 3.25 ,Sylvania
729,Fho39w/Gro-Retail             , 3.78 ,Sylvania
730,Fho54w/Gro-Retail             , 4.68 ,Sylvania
731,F15w Reptistar Uv-B 5%        , 2.15 ,Sylvania
732,F18w Reptistar Uv-B 5%        , 2.25 ,Sylvania
733,F30w Reptistar Uv-B 5%        , 2.85 ,Sylvania
735,Fho24w/Coralstar-Retail       , 1.35 ,Sylvania
736,Phased-out, 0 ,Sylvania
737,Phased-out, 0 ,Sylvania
741,F15w Reptistar Uv-B 10%       , 2.12 ,Sylvania
742,F18w Reptistar Uv-B 10%       , 2.33 ,Sylvania
743,F30w Reptistar Uv-B 10%       , 2.87 ,Sylvania
744,F36w Reptistar Uv-B 10%       , 3.31 ,Sylvania
755,Phased-out, 0 ,Sylvania
786,Phased-out, 0 ,Sylvania
787,Phased-out, 0 ,Sylvania
788,Phased-out, 0 ,Sylvania
789,Phased-out, 0 ,Sylvania
790,Phased-out, 0 ,Sylvania
820,Phased-out, 0 ,Sylvania
870,F16w/830                      , 1.26 ,Sylvania
871,F16w/840                      , 1.26 ,Sylvania
872,F16w/835                      , 1.26 ,Sylvania
874,"F25w/28""/840                  ", 1.21 ,Sylvania
875,"F25w/28""/865                  ", 1.19 ,Sylvania
876,"F25w/30""/830                  ", 1.19 ,Sylvania
877,"F25w/30""/840                  ", 1.19 ,Sylvania
878,"F25w/33""/840                  ", 1.17 ,Sylvania
879,"F25w/33""/865                  ", 1.19 ,Sylvania
947,F15w/T8/865                   , 1.05 ,Sylvania
996,Phased-out, 0 ,Sylvania
997,Phased-out, 0 ,Sylvania
1077,F30w/T8/835                   , 1.21 ,Sylvania
1078,F30w/T8/865                   , 1.21 ,Sylvania
1079,F30w/T8/830                   , 1.23 ,Sylvania
1080,F30w/T8/840                   , 1.23 ,Sylvania
1093,F70w/T8/830                   , 1.81 ,Sylvania
1094,F70w/T8/840                   , 1.81 ,Sylvania
1095,F70w/T8/865                   , 1.81 ,Sylvania
1096,Phased-out, 0 ,Sylvania
1097,Phased-out, 0 ,Sylvania
1099,Phased-out, 0 ,Sylvania
1100,Phased-out, 0 ,Sylvania
1101,Phased-out, 0 ,Sylvania
1102,Phased-out, 0 ,Sylvania
1138,Phased-out, 0 ,Sylvania
1394,F58w/835                      , 1.20 ,Sylvania
1475,F18w/827 E                    , 0.77 ,Sylvania
1476,F18w/840 E                    , 0.80 ,Sylvania
1477,F18w/865 E                    , 0.80 ,Sylvania
1478,F36w/827 E                    , 0.93 ,Sylvania
1479,F36w/840 E                    , 0.94 ,Sylvania
1480,F36w/865 E                    , 0.99 ,Sylvania
1481,F58w/827 E                    , 1.11 ,Sylvania
1482,F58w/840 E                    , 1.11 ,Sylvania
1483,F58w/865 E                    , 1.12 ,Sylvania
1484,F18w/830 E                    , 0.80 ,Sylvania
1485,F36w/830 E                    , 0.94 ,Sylvania
1486,F58w/830 E                    , 1.12 ,Sylvania
1493,F36w/840 Shatter-Proof Fep    , 2.55 ,Sylvania
1494,F58w/840 Shatter-Proof Fep    , 4.32 ,Sylvania
1500,F18W/840                                           , 1.08 ,Sylvania
1501,F18W/830                                           , 1.08 ,Sylvania
1502,F18W/865                                           , 1.07 ,Sylvania
1504,F36w/1m/840                   , 1.35 ,Sylvania
1505,F18W/827                                           , 1.05 ,Sylvania
1510,F36W/840                                           , 1.28 ,Sylvania
1511,F36W/830                                           , 1.28 ,Sylvania
1512,F36W/865                                           , 1.35 ,Sylvania
1514,F36W/827                                           , 1.27 ,Sylvania
1520,F38w/840                      , 1.35 ,Sylvania
1521,F38w/830                      , 0.35 ,Sylvania
1523,F18w/Gro                      , 2.13 ,Sylvania
1524,F36w/Gro                      , 3.20 ,Sylvania
1525,F58w/Gro                      , 3.74 ,Sylvania
1530,F58W/840                                           , 1.40 ,Sylvania
1531,F58W/830                                           , 1.42 ,Sylvania
1532,F58W/865                                           , 1.42 ,Sylvania
1535,F58W/827                                           , 1.42 ,Sylvania
1537,Fr58wt8/840 Rfl               , 2.56 ,Sylvania
1553,Phased-out, 0 ,Sylvania
1554,Phased-out, 0 ,Sylvania
1559,Phased-out, 0 ,Sylvania
