Cons Eng Co 
M.C. GENERAL CONSTRUCT
MC GENERAL
CONS ENG CO
OPTIM
ELECTRO EXCELL GREEN CONSULTING
D & D Eurocom
BCPE
DD STUDIO
Arhiand
"S.C. De Luxe Master Instal S.R.L. 
(Șef proiect: Dr. arh. Rapiteanu Stefan,  proiectat și desenat: Ing. Balea Beatrice)"
DELCONOS
IDEA INSTALL
OPTIM ENGINEERS
BILFINGER TEBODIN
PROFI PROIECT 
H&D Cons
OPTIM/SAIDEL
AMA Design
TWINS DESIGN
BPCE
TWIN STUDIO
SOLID INSTALL GROUP
NTI INSTAL
PIPE DESIGN
ELDO PROIECT
PRIME KAPITAL
ARCADIS ITALIA









































































































































