0000001,0.27
0000002,0.25
0000003,0.27
0000011,0.27
0000012,1.19
0000013,0.27
0000014,0.27
0000019,0.29
0000020,0.29
0000021,0.29
0000026,1.47
0000029,0.42
0000030,1.34
0000031,0.42
0000032,0.42
0000039,0.89
0000042,1.47
0000043,1.63
0000046,1.35
0000047,1.34
0000053,0.29
0000062,0.91
0000069,1.73
0000073,1.47
0000082,1.38
0000083,1.28
0000085,4.25
0000088,1.34
0000089,1.42
0000090,1.43
0000091,1.53
0000092,1.57
0000093,1.91
0000094,2.60
0000097,1.33
0000098,1.78
0000099,2.64
0000100,2.43
0000104,1.05
0000106,0.47
0000107,0.62
0000108,0.95
0000124,2.67
0000125,5.01
0000126,5.04
0000135,0.91
0000136,0.91
0000137,0.91
0000142,0.95
0000144,0.96
0000150,2.53
0000197,0.37
0000199,0.43
0000205,1.53
0000230,1.45
0000361,1.83
0000365,1.47
0000376,1.96
0000377,1.92
0000382,0.29
0000399,1.35
0000416,1.57
0000417,1.58
0000418,1.55
0000419,1.57
0000423,2.15
0000424,2.16
0000428,2.68
0000430,2.68
0000431,2.68
0000438,3.09
0000448,1.57
0000456,2.05
0000501,2.14
0000504,17.72
0000507,3.20
0000517,3.59
0000518,6.61
0000520,1.33
0000521,1.33
0000523,1.85
0000524,1.85
0000527,2.01
0000528,2.01
0000566,0.99
0000567,1.00
0000568,1.29
0000569,1.29
0000570,1.52
0000571,1.45
0000572,1.59
0000573,1.58
0000574,1.98
0000575,1.85
0000576,2.05
0000578,1.01
0000579,2.06
0000580,0.83
0000581,1.72
0000582,1.71
0000583,1.82
0000584,2.01
0000620,1.21
0000621,1.24
0000622,1.55
0000623,1.55
0000624,1.73
0000625,1.73
0000626,1.96
0000627,1.97
0000643,1.62
0000644,1.68
0000645,1.91
0000646,1.95
0000647,2.21
0000648,2.38
0000649,2.35
0000690,1.88
0000691,2.01
0000692,2.55
0000693,1.87
0000694,2.12
0000695,2.59
0000696,4.88
0000697,7.91
0000698,4.65
0000699,7.61
0000700,10.24
0000707,2.06
0000708,2.21
0000709,2.51
0000710,2.93
0000711,3.16
0000712,3.81
0000713,3.44
0000714,4.31
0000715,2.86
0000716,3.36
0000717,4.16
0000718,5.04
0000728,2.96
0000729,3.44
0000730,4.32
0000731,2.02
0000732,2.16
